year,fomc_date,doc_type,word_count,hawk_hits,dove_hits,hawk_net,hawk_score_norm,hawk_ratio,tone_word_count,tfidf_cos_prev,tfidf_pc1,tfidf_pc2,hawk_score_delta,hawk_ratio_delta,finbert_positive,finbert_negative,finbert_neutral,finbert_net,hawk_composite
2014,2014-01-29,statement,812,1,2,-1,-0.4926108374384236,0.3333333333333333,3,0.9718972403180602,0.6699388067965832,-0.1027995299761905,0.006764942836233,0.0,0.1660603880882263,0.2199144860108693,0.6140251259009043,-0.053854097922643,0.4032031421860059
2014,2014-03-19,statement,862,1,2,-1,-0.3480278422273781,0.3333333333333333,3,0.8995452753497502,0.6936670795170631,-0.1089366952300662,0.1445829952110455,0.0,0.171132743358612,0.4754109779993693,0.3534562786420186,-0.3042782346407572,0.3405971080064773
2014,2014-04-30,statement,794,1,2,-1,-0.3778337531486146,0.3333333333333333,3,0.9795035627487292,0.6814234922623488,-0.1104267113955121,-0.0298059109212364,0.0,0.1473825375239054,0.3296626806259155,0.5229547818501791,-0.1822801431020101,0.3710966308911641
2014,2014-06-18,statement,779,1,2,-1,-0.3851091142490372,0.3333333333333333,3,0.986944368224261,0.6809803529923768,-0.1128904952429836,-0.0072753611004226,0.0,0.2434078653653462,0.19050994515419,0.5660821894804636,0.0528979202111562,0.4298911467194557
2014,2014-07-30,statement,774,0,3,-3,-0.6459948320413437,0.0,3,0.9534327491490328,0.6703176838153616,-0.1216046791279598,-0.2608857177923064,-0.3333333333333333,0.3038106461366017,0.1478697657585144,0.5483195881048838,0.1559408803780873,0.2889852200945218
2014,2014-09-17,statement,768,0,3,-3,-0.6510416666666667,0.0,3,0.974449419265483,0.6778892393476506,-0.12405398023309,-0.005046834625323,0.0,0.1793197840452194,0.2575930257638295,0.563087190190951,-0.0782732417186101,0.2304316895703475
2014,2014-10-29,statement,631,0,3,-3,-0.6339144215530903,0.0,3,0.7935646638651935,0.6853709748337036,-0.1374539384739199,0.0171272451135764,0.0,0.2859971225261688,0.1820428296923637,0.5319600477814674,0.103954292833805,0.2759885732084512
2014,2014-12-17,statement,713,0,6,-6,-1.1220196353436185,0.0,6,0.8448289710812008,0.6932578234270338,-0.1117536386420004,-0.4881052137905282,0.0,0.3305368274450302,0.2156770080327987,0.453786164522171,0.1148598194122314,0.2787149548530578
2015,2015-01-28,statement,539,0,4,-4,-0.927643784786642,0.0,4,0.8466758287763276,0.6728257102686196,-0.1274172325665969,0.1943758505569764,0.0,0.2786431908607483,0.2069721445441246,0.5143846645951271,0.0716710463166236,0.2679177615791559
2015,2015-03-18,statement,554,0,3,-3,-0.7220216606498195,0.0,3,0.8914706058454483,0.6948827312344902,-0.1214583942847376,0.2056221241368224,0.0,0.2643309235572815,0.1883406490087509,0.5473284274339676,0.0759902745485305,0.2689975686371326
